"Anno di pubblicazione","ID prodotto","Handle","Titolo","rivista: denominazione","DOI","scopus: funding funders"
"2025","224380","11579/209464","Spheroids Composed of Reaggregated Neonatal Porcine Islets and Human Endothelial Cells Accelerate Development of Normoglycemia in Diabetic Mice","CELLS","10.3390/cells14050366","100010661 - Horizon 2020 Framework Programme; 501100000780 - European Commission; 501100001659 - Deutsche Forschungsgemeinschaft; 501100001659 - Deutsche Forschungsgemeinschaft;"
"2025","224404","11579/209542","The Great Resignation in the US Press: A Corpus-Assisted Discourse 
Study","","",""
"2025","224405","11579/209543","Comparative Evaluation of Cytotoxic and Apoptotic Effects of Natural Compounds in SH-SY5Y Neuroblastoma Cells in Relation to Their Physicochemical Properties","MOLECULES","10.3390/molecules30081742",""
"2025","224407","11579/209544","Cannabinerol Restores mRNA Splicing Defects Induced by β-Amyloid in an In Vitro Model of Alzheimer’s Disease: A Transcriptomic Study","INTERNATIONAL JOURNAL OF MOLECULAR SCIENCES","10.3390/ijms26073113","501100003196 - Ministero della Salute;"
"2025","224408","11579/209545","Bitter Taste Receptors 38 and 46 Regulate Intestinal Peristalsis","INTERNATIONAL JOURNAL OF MOLECULAR SCIENCES","10.3390/ijms26052092","501100003407 - Ministero dell’Istruzione, dell’Università e della Ricerca; 501100003407 - Ministero dell’Istruzione, dell’Università e della Ricerca;"
"2025","224410","11579/209546","Analytically Unsupervised Metabolomic Profile of the Premium Malgasy Pepper Voatsipérifery (Piper borbonense): Identification of Marker Components","JOURNAL OF AGRICULTURAL AND FOOD CHEMISTRY","10.1021/acs.jafc.5c01501",""
"2025","224425","11579/209562","ATM knock out alters calcium signalling and augments contraction in skeletal muscle cells differentiated from human urine-derived stem cells","CELL DEATH DISCOVERY","10.1038/s41420-025-02485-x",""
"2025","224444","11579/209582","Prophylactic central neck dissection in differentiated thyroid cancer: risks and benefits in a population with a high rate of tumor recurrence","MINERVA ENDOCRINOLOGY","10.23736/s2724-6507.22.03892-1","501100003196 - Ministero della Salute; 501100003196 - Ministero della Salute;"
"2025","224464","11579/209602","La borsa di studio: un ponte verso l'università? Gli esiti di uno studio randomizzato controllato","POLITICHE PIEMONTE","",""
"2025","224484","11579/209622","Unraveling the joint effect of firm and stakeholder pro-environmental engagement on firm economic rewards: an application to waste management services","SOCIAL RESPONSIBILITY JOURNAL","10.1108/SRJ-04-2024-0290","501100005699 - Università degli Studi del Piemonte Orientale;"
"2025","224536","11579/209670","Nudging women towards pursuing their university careers","ECONOMICA","10.1111/ecca.12577","501100005969 - Università di Bologna;"
"2025","224565","11579/209702","Rare tattoos shape and composition on a South American mummy","JOURNAL OF CULTURAL HERITAGE","10.1016/j.culher.2025.04.013",""
"2025","224566","11579/209703","Glass flow on the Dnipro River: An archaeometric study of glass beads from Scythian contexts on the island of Khortytsia (Zaporizhzhia, Ukraine)","JOURNAL OF ARCHAEOLOGICAL SCIENCE: REPORTS","10.1016/j.jasrep.2025.105122",""
"2025","224567","11579/209704","Questions to Dagulf: On the Psalterium Codex 1861 at the Austrian National Library","","10.55069/csr73901",""
"2025","224624","11579/209722","Per un antropocentrismo dei doveri. Una proposta teorica","CORTI SUPREME E SALUTE","",""
"2025","224664","11579/209742","Influenza Vaccination of Nurses and Other Health Care Workers in Different Occupational Settings: A Classic and AI Mixed Approach for Time-to-Event Data","NURSING REPORTS","10.3390/nursrep15030087",""
"2025","224684","11579/209762","Exploring preconditioning strategies for the Riesz operator in fractional models","","",""
"2025","224689","11579/209763","INdAM Workshop: ""Fast Methods for Isogeometric Analysis""","","",""
"2025","224804","11579/209802","Diritto costituzionale del lavoro","","",""
"2025","224885","11579/209822","TELEMEDICINE INTERVENTIONS FOR HEART FAILURE DYAD: A SCOPING REVIEW PROTOCOL","JBI EVIDENCE SYNTHESIS","10.11124/JBIES-24-00268","501100000780 - European Commission; 501100000780 - European Commission;"
"2025","224944","11579/209862","Paesaggio e domini collettivi verso la sostenibilità","","",""
"2025","224984","11579/215942","La crítica textual y el Libro de Buen Amor","ARCHILETRAS CIENTÍFICA","",""
"2025","224985","11579/221063","La Guía espiritual de Miguel de Molinos: primera aproximación desde la filología de autor","","",""
"2025","225004","11579/209882","Sustainable production of osteoinductive Co2+, Mg2+ and Mn2+ -substituted apatites particles by one-pot conversion of biogenic calcium carbonate","SCIENTIFIC REPORTS","10.1038/s41598-025-94792-7","100014440 - Ministerio de Ciencia, Innovación y Universidades; 501100000780 - European Commission; 501100006393 - Universidad de Granada; 501100002426 - Fondazione Telethon; 501100002426 - Fondazione Telethon; 100010661 - Horizon 2020 Framework Programme; 100010661 - Horizon 2020 Framework Programme; 100007388 - Compagnia di San Paolo; 100007388 - Compagnia di San Paolo; 501100002924 - Federación Española de Enfermedades Raras; 501100002924 - Federación Española de Enfermedades Raras;"
"2025","225028","11579/209902","Optimizing and Characterization of Soybean Oil Seed Cake Protein Hydrolysis: In Vitro Analysis","FOOD SCIENCE & NUTRITION","10.1002/fsn3.70270",""
"2025","225144","11579/209942","Identifying key competencies for supporting second victims in different contexts: a scoping review","BMJ OPEN","10.1136/bmjopen-2024-094959","501100000921 - European Cooperation in Science and Technology; 501100000921 - European Cooperation in Science and Technology;"
"2025","225184","11579/209982","μ-FTIR Reflectance Spectroscopy Coupled with Multivariate Analysis: A Rapid and Robust Method for Identifying the Extent of Photodegradation on Microplastics","ANALYTICAL CHEMISTRY","10.1021/acs.analchem.4c04281","501100003407 - Ministero dell’Istruzione, dell’Università e della Ricerca;"
"2025","225205","11579/209983","Latitudinal patterns of microplastic contamination in remote areas","ENVIRONMENTAL RESEARCH","10.1016/j.envres.2025.121553",""
"2025","225224","11579/210003","Unraveling the Crystal Structures of Picolinic Acid Derivatives: Synthesis, Packing, Interactions, and Conformational Flexibility","CHEMISTRYOPEN","10.1002/open.202500197","501100005699 - Università degli Studi del Piemonte Orientale;"
"2025","225225","11579/210004","Beyond Labels: A Self-Supervised Framework with Masked Autoencoders and Random Cropping for Breast Cancer Subtype Classification","","",""
"2025","225226","11579/210005","Graph Representation Learning for IBD Diagnosis based on Microbiome Metaomic Data","","",""
"2025","225264","11579/210022","Becoming Aware of Endangered and Critical Elements: Spent Batteries as Metal Mines","JOURNAL OF CHEMICAL EDUCATION","10.1021/acs.jchemed.4c01535",""
"2025","225465","11579/210042","Optimization of Steroid Photochemistry and Its Application in the Synthesis of 5,6-Dihydro-Ophiopogonol A","CHEMISTRY-A EUROPEAN JOURNAL","10.1002/chem.202500395","501100007065 - Università degli Studi di Salerno; 501100000780 - European Commission; 501100000780 - European Commission; 501100021856 - Ministero dell'Università e della Ricerca; 501100021856 - Ministero dell'Università e della Ricerca;"
"2025","225466","11579/210043","The Impact of a Quinone Scaffold on Thermo-TRPs Modulation by Dimethylheptyl Phytocannabinoids","INTERNATIONAL JOURNAL OF MOLECULAR SCIENCES","10.3390/ijms26062682","501100003407 - Ministero dell’Istruzione, dell’Università e della Ricerca;"
"2025","225473","11579/210054","First observation of strange baryon enhancement with effective energy in pp collisions at the LHC","JOURNAL OF HIGH ENERGY PHYSICS","10.1007/jhep03(2025)029","501100001412 - Council of Scientific and Industrial Research, India; 501100005992 - Ministry of Education and Science; 501100001502 - Department of Atomic Energy, Government of India; 501100004742 - National Academy of Sciences of Ukraine; 501100007029 - State Committee of Science; 501100004192 - National Science and Technology Development Agency; 501100003725 - National Research Foundation of Korea; 100008398 - Villum Fonden; 501100002338 - Ministry of Education of the People's Republic of China; 100032844 - Ministerul Educaţiei şi Cercetării; 501100004281 - Narodowe Centrum Nauki; 501100001501 - University Grants Commission; 501100012441 - Institut National de Physique Nucléaire et de Physique des Particules; 501100015622 - Ministerul Cercetării şi Inovării; 501100000271 - Science and Technology Facilities Council; 501100001691 - Japan Society for the Promotion of Science; 501100003246 - Nederlandse Organisatie voor Wetenschappelijk Onderzoek; 501100003708 - Korea Institute of Science and Technology Information; 501100004063 - Knut och Alice Wallenbergs Stiftelse; 501100004809 - Financiadora de Estudos e Projetos; 501100001409 - Department of Science and Technology, Ministry of Science and Technology, India; 501100003141 - Consejo Nacional de Humanidades, Ciencias y Tecnologías; 501100005416 - Norges Forskningsråd; 100008394 - Natur og Univers, Det Frie Forskningsråd; 501100004794 - Centre National de la Recherche Scientifique; 501100006087 - Dirección General de Asuntos del Personal Académico, Universidad Nacional Autónoma de México; 501100002347 - Bundesministerium für Bildung und Forschung; 501100006489 - Commissariat à l'Énergie Atomique et aux Énergies Alternatives; 501100001732 - Danmarks Grundforskningsfond; 501100003593 - Conselho Nacional de Desenvolvimento Científico e Tecnológico; 501100004352 - Suranaree University of Technology; 501100019929 - Centro de Aplicaciones Tecnológicas y Desarrollo Nuclear; 100020381 - Türkiye Enerji, Nükleer ve Maden Araştırma Kurumu; 100015526 - Ministarstvo znanosti i obrazovanja; 501100011019 - Nemzeti Kutatási Fejlesztési és Innovációs Hivatal; 501100000780 - European Commission; 501100010958 - GSI Helmholtzzentrum für Schwerionenforschung; 100000015 - U.S. Department of Energy; 100023048 - International Council of Shopping Centers; 501100001807 - Fundação de Amparo à Pesquisa do Estado de São Paulo; 501100019278 - Institutul de Fizică Atomică; 501100002855 - Ministry of Science and Technology of the People's Republic of China; 501100003448 - General Secretariat for Research and Innovation; 100031646 - Helsinki Institute of Physics; 501100007709 - Fondo de Cooperación Internacional en Ciencia y Tecnología; 501100004909 - Universidade Federal do Rio Grande do Sul; 501100001822 - Österreichische Akademie der Wissenschaften; 501100007724 - Wuhan University of Technology; 501100003193 - Ministerstvo školstva, vedy, výskumu a športu Slovenskej republiky; 501100001321 - National Research Foundation; 100020473 - Badan Riset dan Inovasi Nasional; 501100004569 - Ministerstwo Edukacji i Nauki; 100012470 - CERN; 100006209 - Nuclear Physics; 501100001823 - Ministerstvo Školství, Mládeže a Tělovýchovy; 501100004359 - Vetenskapsrådet; 501100013168 - Istituto Nazionale di Fisica Nucleare; 100010132 - Österreichische Nationalstiftung für Forschung, Technologie und Entwicklung; 501100001700 - Ministry of Education, Culture, Sports, Science and Technology; 501100001809 - National Natural Science Foundation of China; 501100001824 - Grantová Agentura České Republiky; 501100001824 - Grantová Agentura České Republiky; 501100002428 - Austrian Science Fund; 501100002428 - Austrian Science Fund; 501100000781 - European Research Council; 501100000781 - European Research Council; 501100002341 - Research Council of Finland; 501100002341 - Research Council of Finland;"
"2025","225475","11579/210056","Multiplicity-dependent jet modification from di-hadron correlations in pp collisions at $$ \sqrt{s} $$ = 13 TeV","JOURNAL OF HIGH ENERGY PHYSICS","10.1007/jhep03(2025)194","501100001412 - Council of Scientific and Industrial Research, India; 501100005992 - Ministry of Education and Science; 501100001502 - Department of Atomic Energy, Government of India; 501100004742 - National Academy of Sciences of Ukraine; 501100007029 - State Committee of Science; 501100004192 - National Science and Technology Development Agency; 501100003725 - National Research Foundation of Korea; 100008398 - Villum Fonden; 501100002338 - Ministry of Education of the People's Republic of China; 501100004281 - Narodowe Centrum Nauki; 501100001501 - University Grants Commission; 501100012441 - Institut National de Physique Nucléaire et de Physique des Particules; 501100015622 - Ministerul Cercetării şi Inovării; 501100000271 - Science and Technology Facilities Council; 501100001691 - Japan Society for the Promotion of Science; 501100003246 - Nederlandse Organisatie voor Wetenschappelijk Onderzoek; 501100003708 - Korea Institute of Science and Technology Information; 501100004063 - Knut och Alice Wallenbergs Stiftelse; 501100004809 - Financiadora de Estudos e Projetos; 501100001409 - Department of Science and Technology, Ministry of Science and Technology, India; 501100003141 - Consejo Nacional de Humanidades, Ciencias y Tecnologías; 501100005416 - Norges Forskningsråd; 100008394 - Natur og Univers, Det Frie Forskningsråd; 501100004794 - Centre National de la Recherche Scientifique; 501100006087 - Dirección General de Asuntos del Personal Académico, Universidad Nacional Autónoma de México; 501100002347 - Bundesministerium für Bildung und Forschung; 501100006489 - Commissariat à l'Énergie Atomique et aux Énergies Alternatives; 501100001732 - Danmarks Grundforskningsfond; 501100003593 - Conselho Nacional de Desenvolvimento Científico e Tecnológico; 501100004352 - Suranaree University of Technology; 501100019929 - Centro de Aplicaciones Tecnológicas y Desarrollo Nuclear; 100020381 - Türkiye Enerji, Nükleer ve Maden Araştırma Kurumu; 100015526 - Ministarstvo znanosti i obrazovanja; 501100011019 - Nemzeti Kutatási Fejlesztési és Innovációs Hivatal; 501100000780 - European Commission; 501100010958 - GSI Helmholtzzentrum für Schwerionenforschung; 100000015 - U.S. Department of Energy; 100023048 - International Council of Shopping Centers; 501100001807 - Fundação de Amparo à Pesquisa do Estado de São Paulo; 501100019278 - Institutul de Fizică Atomică; 501100002855 - Ministry of Science and Technology of the People's Republic of China; 501100003448 - General Secretariat for Research and Innovation; 100031646 - Helsinki Institute of Physics; 501100007709 - Fondo de Cooperación Internacional en Ciencia y Tecnología; 501100004909 - Universidade Federal do Rio Grande do Sul; 501100001822 - Österreichische Akademie der Wissenschaften; 501100007724 - Wuhan University of Technology; 501100003193 - Ministerstvo školstva, vedy, výskumu a športu Slovenskej republiky; 501100001321 - National Research Foundation; 100020473 - Badan Riset dan Inovasi Nasional; 501100004569 - Ministerstwo Edukacji i Nauki; 100012470 - CERN; 100006209 - Nuclear Physics; 501100001823 - Ministerstvo Školství, Mládeže a Tělovýchovy; 501100004359 - Vetenskapsrådet; 501100013168 - Istituto Nazionale di Fisica Nucleare; 100010132 - Österreichische Nationalstiftung für Forschung, Technologie und Entwicklung; 501100001700 - Ministry of Education, Culture, Sports, Science and Technology; 501100001809 - National Natural Science Foundation of China; 501100001824 - Grantová Agentura České Republiky; 501100001824 - Grantová Agentura České Republiky; 501100002428 - Austrian Science Fund; 501100002428 - Austrian Science Fund; 501100000781 - European Research Council; 501100000781 - European Research Council; 501100002341 - Research Council of Finland; 501100002341 - Research Council of Finland;"
"2025","225476","11579/210057","Multimuons in cosmic-ray events as seen in ALICE at the LHC","JOURNAL OF COSMOLOGY AND ASTROPARTICLE PHYSICS","10.1088/1475-7516/2025/04/009","501100001412 - Council of Scientific and Industrial Research, India; 501100005992 - Ministry of Education and Science; 501100001502 - Department of Atomic Energy, Government of India; 501100004742 - National Academy of Sciences of Ukraine; 501100004192 - National Science and Technology Development Agency; 501100003725 - National Research Foundation of Korea; 100008398 - Villum Fonden; 501100002338 - Ministry of Education of the People's Republic of China; 501100004281 - Narodowe Centrum Nauki; 501100001501 - University Grants Commission; 501100012441 - Institut National de Physique Nucléaire et de Physique des Particules; 501100000271 - Science and Technology Facilities Council; 501100001691 - Japan Society for the Promotion of Science; 501100003246 - Nederlandse Organisatie voor Wetenschappelijk Onderzoek; 501100003708 - Korea Institute of Science and Technology Information; 501100004063 - Knut och Alice Wallenbergs Stiftelse; 501100004007 - Instituto Nazionale di Fisica Nucleare; 501100004809 - Financiadora de Estudos e Projetos; 501100015668 - Ontario Ministry of Research and Innovation; 501100001409 - Department of Science and Technology, Ministry of Science and Technology, India; 501100003141 - Consejo Nacional de Humanidades, Ciencias y Tecnologías; 501100005416 - Norges Forskningsråd; 100008394 - Natur og Univers, Det Frie Forskningsråd; 501100004794 - Centre National de la Recherche Scientifique; 501100006087 - Dirección General de Asuntos del Personal Académico, Universidad Nacional Autónoma de México; 501100002347 - Bundesministerium für Bildung und Forschung; 501100006489 - Commissariat à l'Énergie Atomique et aux Énergies Alternatives; 501100001732 - Danmarks Grundforskningsfond; 501100003593 - Conselho Nacional de Desenvolvimento Científico e Tecnológico; 501100004352 - Suranaree University of Technology; 501100019929 - Centro de Aplicaciones Tecnológicas y Desarrollo Nuclear; 100020381 - Türkiye Enerji, Nükleer ve Maden Araştırma Kurumu; 501100011019 - Nemzeti Kutatási Fejlesztési és Innovációs Hivatal; 501100007335 - Ministry of Higher Education and Scientific Research; 501100000780 - European Commission; 501100010958 - GSI Helmholtzzentrum für Schwerionenforschung; 100000015 - U.S. Department of Energy; 100023048 - International Council of Shopping Centers; 501100001807 - Fundação de Amparo à Pesquisa do Estado de São Paulo; 501100019278 - Institutul de Fizică Atomică; 501100002855 - Ministry of Science and Technology of the People's Republic of China; 100031646 - Helsinki Institute of Physics; 501100007709 - Fondo de Cooperación Internacional en Ciencia y Tecnología; 501100004909 - Universidade Federal do Rio Grande do Sul; 501100001822 - Österreichische Akademie der Wissenschaften; 501100001321 - National Research Foundation; 100020473 - Badan Riset dan Inovasi Nasional; 501100004569 - Ministerstwo Edukacji i Nauki; 100012470 - CERN; 100006209 - Nuclear Physics; 501100004359 - Vetenskapsrådet; 100010132 - Österreichische Nationalstiftung für Forschung, Technologie und Entwicklung; 501100001700 - Ministry of Education, Culture, Sports, Science and Technology; 501100001809 - National Natural Science Foundation of China; 501100002428 - Austrian Science Fund; 501100002428 - Austrian Science Fund; 501100000781 - European Research Council; 501100000781 - European Research Council; 501100002341 - Research Council of Finland; 501100002341 - Research Council of Finland; 501100001824 - Grantová Agentura České Republiky; 501100001824 - Grantová Agentura České Republiky;"
"2025","225478","11579/210058","Medium-induced modification of groomed and ungroomed jet mass and angularities in Pb–Pb collisions at $$\sqrt{s_{NN}}$$ = 5.02 TeV","PHYSICS LETTERS. SECTION B","10.1016/j.physletb.2025.139409","501100001412 - Council of Scientific and Industrial Research, India; 501100005992 - Ministry of Education and Science; 501100001502 - Department of Atomic Energy, Government of India; 501100004742 - National Academy of Sciences of Ukraine; 501100004192 - National Science and Technology Development Agency; 501100003725 - National Research Foundation of Korea; 100008398 - Villum Fonden; 501100002338 - Ministry of Education of the People's Republic of China; 501100004281 - Narodowe Centrum Nauki; 501100001501 - University Grants Commission; 501100012441 - Institut National de Physique Nucléaire et de Physique des Particules; 501100000271 - Science and Technology Facilities Council; 501100001691 - Japan Society for the Promotion of Science; 501100003246 - Nederlandse Organisatie voor Wetenschappelijk Onderzoek; 501100003708 - Korea Institute of Science and Technology Information; 501100004063 - Knut och Alice Wallenbergs Stiftelse; 501100004007 - Instituto Nazionale di Fisica Nucleare; 501100004809 - Financiadora de Estudos e Projetos; 501100015668 - Ontario Ministry of Research and Innovation; 501100001409 - Department of Science and Technology, Ministry of Science and Technology, India; 501100003141 - Consejo Nacional de Humanidades, Ciencias y Tecnologías; 501100005416 - Norges Forskningsråd; 100008394 - Natur og Univers, Det Frie Forskningsråd; 501100004794 - Centre National de la Recherche Scientifique; 501100006087 - Dirección General de Asuntos del Personal Académico, Universidad Nacional Autónoma de México; 501100002347 - Bundesministerium für Bildung und Forschung; 501100006489 - Commissariat à l'Énergie Atomique et aux Énergies Alternatives; 501100001732 - Danmarks Grundforskningsfond; 501100003593 - Conselho Nacional de Desenvolvimento Científico e Tecnológico; 501100004352 - Suranaree University of Technology; 501100019929 - Centro de Aplicaciones Tecnológicas y Desarrollo Nuclear; 100020381 - Türkiye Enerji, Nükleer ve Maden Araştırma Kurumu; 501100011019 - Nemzeti Kutatási Fejlesztési és Innovációs Hivatal; 501100007335 - Ministry of Higher Education and Scientific Research; 501100000780 - European Commission; 501100010958 - GSI Helmholtzzentrum für Schwerionenforschung; 100000015 - U.S. Department of Energy; 100023048 - International Council of Shopping Centers; 501100001807 - Fundação de Amparo à Pesquisa do Estado de São Paulo; 501100019278 - Institutul de Fizică Atomică; 501100002855 - Ministry of Science and Technology of the People's Republic of China; 100031646 - Helsinki Institute of Physics; 501100007709 - Fondo de Cooperación Internacional en Ciencia y Tecnología; 501100004909 - Universidade Federal do Rio Grande do Sul; 501100001822 - Österreichische Akademie der Wissenschaften; 501100001321 - National Research Foundation; 100020473 - Badan Riset dan Inovasi Nasional; 501100004569 - Ministerstwo Edukacji i Nauki; 100012470 - CERN; 100006209 - Nuclear Physics; 501100004359 - Vetenskapsrådet; 100010132 - Österreichische Nationalstiftung für Forschung, Technologie und Entwicklung; 501100001700 - Ministry of Education, Culture, Sports, Science and Technology; 501100001809 - National Natural Science Foundation of China; 501100002428 - Austrian Science Fund; 501100002428 - Austrian Science Fund; 501100001659 - Deutsche Forschungsgemeinschaft; 501100001659 - Deutsche Forschungsgemeinschaft; 501100000781 - European Research Council; 501100000781 - European Research Council; 501100001824 - Grantová Agentura České Republiky; 501100001824 - Grantová Agentura České Republiky; 501100002341 - Research Council of Finland; 501100002341 - Research Council of Finland;"
"2025","225479","11579/210059","Measurement of ω meson production in pp collisions at $$ \sqrt{s} $$ = 13 TeV","JOURNAL OF HIGH ENERGY PHYSICS","10.1007/jhep04(2025)067","501100001412 - Council of Scientific and Industrial Research, India; 501100005992 - Ministry of Education and Science; 501100001502 - Department of Atomic Energy, Government of India; 501100004742 - National Academy of Sciences of Ukraine; 501100007029 - State Committee of Science; 501100004192 - National Science and Technology Development Agency; 501100003725 - National Research Foundation of Korea; 100008398 - Villum Fonden; 501100002338 - Ministry of Education of the People's Republic of China; 501100004281 - Narodowe Centrum Nauki; 501100001501 - University Grants Commission; 501100012441 - Institut National de Physique Nucléaire et de Physique des Particules; 501100015622 - Ministerul Cercetării şi Inovării; 501100000271 - Science and Technology Facilities Council; 501100001691 - Japan Society for the Promotion of Science; 501100003246 - Nederlandse Organisatie voor Wetenschappelijk Onderzoek; 501100003708 - Korea Institute of Science and Technology Information; 501100004063 - Knut och Alice Wallenbergs Stiftelse; 501100004809 - Financiadora de Estudos e Projetos; 501100001409 - Department of Science and Technology, Ministry of Science and Technology, India; 501100003141 - Consejo Nacional de Humanidades, Ciencias y Tecnologías; 501100005416 - Norges Forskningsråd; 100008394 - Natur og Univers, Det Frie Forskningsråd; 501100004794 - Centre National de la Recherche Scientifique; 501100006087 - Dirección General de Asuntos del Personal Académico, Universidad Nacional Autónoma de México; 501100002347 - Bundesministerium für Bildung und Forschung; 501100006489 - Commissariat à l'Énergie Atomique et aux Énergies Alternatives; 501100001732 - Danmarks Grundforskningsfond; 501100003593 - Conselho Nacional de Desenvolvimento Científico e Tecnológico; 501100004352 - Suranaree University of Technology; 501100019929 - Centro de Aplicaciones Tecnológicas y Desarrollo Nuclear; 100020381 - Türkiye Enerji, Nükleer ve Maden Araştırma Kurumu; 100015526 - Ministarstvo znanosti i obrazovanja; 501100011019 - Nemzeti Kutatási Fejlesztési és Innovációs Hivatal; 501100000780 - European Commission; 501100010958 - GSI Helmholtzzentrum für Schwerionenforschung; 100000015 - U.S. Department of Energy; 100023048 - International Council of Shopping Centers; 501100001807 - Fundação de Amparo à Pesquisa do Estado de São Paulo; 501100019278 - Institutul de Fizică Atomică; 501100002855 - Ministry of Science and Technology of the People's Republic of China; 501100003448 - General Secretariat for Research and Innovation; 100031646 - Helsinki Institute of Physics; 501100007709 - Fondo de Cooperación Internacional en Ciencia y Tecnología; 501100004909 - Universidade Federal do Rio Grande do Sul; 501100001822 - Österreichische Akademie der Wissenschaften; 501100007724 - Wuhan University of Technology; 501100003193 - Ministerstvo školstva, vedy, výskumu a športu Slovenskej republiky; 501100001321 - National Research Foundation; 100020473 - Badan Riset dan Inovasi Nasional; 501100004569 - Ministerstwo Edukacji i Nauki; 100012470 - CERN; 100006209 - Nuclear Physics; 501100001823 - Ministerstvo Školství, Mládeže a Tělovýchovy; 501100004359 - Vetenskapsrådet; 501100013168 - Istituto Nazionale di Fisica Nucleare; 100010132 - Österreichische Nationalstiftung für Forschung, Technologie und Entwicklung; 501100001700 - Ministry of Education, Culture, Sports, Science and Technology; 501100001809 - National Natural Science Foundation of China; 501100002341 - Research Council of Finland; 501100002341 - Research Council of Finland; 501100001659 - Deutsche Forschungsgemeinschaft; 501100001659 - Deutsche Forschungsgemeinschaft; 501100001824 - Grantová Agentura České Republiky; 501100001824 - Grantová Agentura České Republiky; 501100000781 - European Research Council; 501100000781 - European Research Council; 501100002428 - Austrian Science Fund; 501100002428 - Austrian Science Fund;"
"2025","225480","11579/210060","First polarisation measurement of coherently photoproduced J/ψ in ultra-peripheral Pb–Pb collisions at $$ \sqrt{s_{NN}} $$ 5.02 TeV","PHYSICS LETTERS. SECTION B","10.1016/j.physletb.2025.139466","501100001412 - Council of Scientific and Industrial Research, India; 501100005992 - Ministry of Education and Science; 501100001502 - Department of Atomic Energy, Government of India; 501100004742 - National Academy of Sciences of Ukraine; 501100004192 - National Science and Technology Development Agency; 501100003725 - National Research Foundation of Korea; 501100002338 - Ministry of Education of the People's Republic of China; 501100005739 - Universidad Nacional Autónoma de México; 501100004281 - Narodowe Centrum Nauki; 501100001501 - University Grants Commission; 501100012441 - Institut National de Physique Nucléaire et de Physique des Particules; 501100000271 - Science and Technology Facilities Council; 501100001691 - Japan Society for the Promotion of Science; 501100003246 - Nederlandse Organisatie voor Wetenschappelijk Onderzoek; 501100003708 - Korea Institute of Science and Technology Information; 501100004063 - Knut och Alice Wallenbergs Stiftelse; 501100004007 - Instituto Nazionale di Fisica Nucleare; 501100004809 - Financiadora de Estudos e Projetos; 501100015668 - Ontario Ministry of Research and Innovation; 501100001409 - Department of Science and Technology, Ministry of Science and Technology, India; 501100003141 - Consejo Nacional de Humanidades, Ciencias y Tecnologías; 501100005416 - Norges Forskningsråd; 100008394 - Natur og Univers, Det Frie Forskningsråd; 501100004794 - Centre National de la Recherche Scientifique; 501100006087 - Dirección General de Asuntos del Personal Académico, Universidad Nacional Autónoma de México; 501100002347 - Bundesministerium für Bildung und Forschung; 501100006489 - Commissariat à l'Énergie Atomique et aux Énergies Alternatives; 501100001732 - Danmarks Grundforskningsfond; 501100003593 - Conselho Nacional de Desenvolvimento Científico e Tecnológico; 501100004352 - Suranaree University of Technology; 501100019929 - Centro de Aplicaciones Tecnológicas y Desarrollo Nuclear; 100020381 - Türkiye Enerji, Nükleer ve Maden Araştırma Kurumu; 501100011019 - Nemzeti Kutatási Fejlesztési és Innovációs Hivatal; 501100007335 - Ministry of Higher Education and Scientific Research; 501100000780 - European Commission; 501100010958 - GSI Helmholtzzentrum für Schwerionenforschung; 100000015 - U.S. Department of Energy; 100023048 - International Council of Shopping Centers; 501100001807 - Fundação de Amparo à Pesquisa do Estado de São Paulo; 501100019278 - Institutul de Fizică Atomică; 501100002855 - Ministry of Science and Technology of the People's Republic of China; 100031646 - Helsinki Institute of Physics; 501100007709 - Fondo de Cooperación Internacional en Ciencia y Tecnología; 501100004909 - Universidade Federal do Rio Grande do Sul; 501100001822 - Österreichische Akademie der Wissenschaften; 501100001321 - National Research Foundation; 100020473 - Badan Riset dan Inovasi Nasional; 100012470 - CERN; 100006209 - Nuclear Physics; 501100004359 - Vetenskapsrådet; 100010132 - Österreichische Nationalstiftung für Forschung, Technologie und Entwicklung; 501100001700 - Ministry of Education, Culture, Sports, Science and Technology; 501100001809 - National Natural Science Foundation of China; 501100002428 - Austrian Science Fund; 501100002428 - Austrian Science Fund; 501100001824 - Grantová Agentura České Republiky; 501100001824 - Grantová Agentura České Republiky; 501100000781 - European Research Council; 501100000781 - European Research Council; 501100002341 - Research Council of Finland; 501100002341 - Research Council of Finland;"
